lat,long,time,rawpm,calibpm
22.48,88.39,9/15/2023 0:00,29.82,22.41067128
22.5,88.35,9/15/2023 0:00,26.94,20.93749374
22.51,88.34,9/15/2023 0:00,15.79,15.04297752
22.51,88.36,9/15/2023 0:00,16.97,15.66679179
22.51,88.37,9/15/2023 0:00,12.9,13.465809
22.54,88.34,9/15/2023 0:00,18.74,17.27086172
22.54,88.35,9/15/2023 0:00,21.68,18.82511084
22.59,88.36,9/15/2023 0:00,18.07,16.53679767
22.6,88.37,9/15/2023 0:00,16.96,15.94998933
22.6,88.41,9/15/2023 0:00,18.57,16.96640593
22.48,88.39,9/15/2023 1:00,29.15,22.01748234
22.5,88.35,9/15/2023 1:00,26.68,20.78890333
22.51,88.34,9/15/2023 1:00,15.51,14.88381399
22.51,88.36,9/15/2023 1:00,18.47,16.44863623
22.51,88.37,9/15/2023 1:00,11.97,12.93516945
22.54,88.34,9/15/2023 1:00,17,16.32398169
22.54,88.35,9/15/2023 1:00,20.42,18.13198576
22.59,88.36,9/15/2023 1:00,16.51,15.69352772
22.6,88.37,9/15/2023 1:00,16.04,15.44505932
22.6,88.41,9/15/2023 1:00,16.66,15.90997974
22.48,88.39,9/15/2023 2:00,27.29,20.89086058
22.5,88.35,9/15/2023 2:00,23.88,19.13674176
22.51,88.34,9/15/2023 2:00,14.06,13.94533824
22.51,88.36,9/15/2023 2:00,20.59,17.39746299
22.51,88.37,9/15/2023 2:00,10.16,11.83498051
22.54,88.34,9/15/2023 2:00,15.2,15.15037515
22.54,88.35,9/15/2023 2:00,15.97,15.55744039
22.59,88.36,9/15/2023 2:00,13.57,13.84208975
22.6,88.37,9/15/2023 2:00,12.96,13.51960949
22.6,88.41,9/15/2023 2:00,13.76,13.93130697
22.48,88.39,9/15/2023 3:00,24.24,19.14949235
22.5,88.35,9/15/2023 3:00,20.43,17.15432145
22.51,88.34,9/15/2023 3:00,12.63,13.03080338
22.51,88.36,9/15/2023 3:00,16.9,15.2881652
22.51,88.37,9/15/2023 3:00,9.83,11.53155703
22.54,88.34,9/15/2023 3:00,15.75,15.27096895
22.54,88.35,9/15/2023 3:00,14.79,14.76345903
22.59,88.36,9/15/2023 3:00,13.85,13.79939602
22.6,88.37,9/15/2023 3:00,12.78,13.23373393
22.6,88.41,9/15/2023 3:00,13.59,13.70931506
22.48,88.39,9/15/2023 4:00,25.77,19.90766959
22.5,88.35,9/15/2023 4:00,19.26,16.5116575
22.51,88.34,9/15/2023 4:00,10.87,12.07623229
22.51,88.36,9/15/2023 4:00,10.82,12.04979948
22.51,88.37,9/15/2023 4:00,7.51,10.25440805
22.54,88.34,9/15/2023 4:00,13.04,13.7878103
22.54,88.35,9/15/2023 4:00,12.52,13.51290909
22.59,88.36,9/15/2023 4:00,11.5,12.4326984
22.6,88.37,9/15/2023 4:00,9.54,11.39653232
22.6,88.41,9/15/2023 4:00,8.28,10.76184471
22.48,88.39,9/15/2023 5:00,18.92,16.19715703
22.5,88.35,9/15/2023 5:00,13.55,13.40762564
22.51,88.34,9/15/2023 5:00,8.52,10.74848514
22.51,88.36,9/15/2023 5:00,8.14,10.5475958
22.51,88.37,9/15/2023 5:00,6.46,9.610101234
22.54,88.34,9/15/2023 5:00,10.6,12.37098404
22.54,88.35,9/15/2023 5:00,10.62,12.38155717
22.59,88.36,9/15/2023 5:00,8.67,10.80790073
22.6,88.37,9/15/2023 5:00,8.84,10.89777228
22.6,88.41,9/15/2023 5:00,8.75,10.92912564
22.48,88.39,9/15/2023 6:00,22.7,18.1799313
22.5,88.35,9/15/2023 6:00,14.62,13.9506368
22.51,88.34,9/15/2023 6:00,9.7,11.34964848
22.51,88.36,9/15/2023 6:00,9.28,11.12761289
22.51,88.37,9/15/2023 6:00,7.76,10.28180822
22.54,88.34,9/15/2023 6:00,13.76,14.0690157
22.54,88.35,9/15/2023 6:00,16.04,15.27435175
22.59,88.36,9/15/2023 6:00,14.46,13.89609872
22.6,88.37,9/15/2023 6:00,14.22,13.76922124
22.6,88.41,9/15/2023 6:00,9.74,11.47904796
22.48,88.39,9/15/2023 7:00,22.65,18.12697891
22.5,88.35,9/15/2023 7:00,15.64,14.44939146
22.51,88.34,9/15/2023 7:00,13.05,13.080172
22.51,88.36,9/15/2023 7:00,11.37,12.19202965
22.51,88.37,9/15/2023 7:00,7.88,10.31872738
22.54,88.34,9/15/2023 7:00,13.33,13.85701506
22.54,88.35,9/15/2023 7:00,18.43,16.5531615
22.59,88.36,9/15/2023 7:00,13.95,13.72490225
22.6,88.37,9/15/2023 7:00,12.95,13.19624609
22.6,88.41,9/15/2023 7:00,12.41,12.92341949
22.48,88.39,9/15/2023 8:00,23.1,18.76841788
22.5,88.35,9/15/2023 8:00,17.71,16.06687035
22.51,88.34,9/15/2023 8:00,11.98,13.03767054
22.51,88.36,9/15/2023 8:00,12.01,13.05353022
22.51,88.37,9/15/2023 8:00,10.87,12.302953
22.54,88.34,9/15/2023 8:00,19.19,17.40469693
22.54,88.35,9/15/2023 8:00,18.6,17.0927898
22.59,88.36,9/15/2023 8:00,15.19,14.47417078
22.6,88.37,9/15/2023 8:00,13.32,13.48558376
22.6,88.41,9/15/2023 8:00,12.85,13.30624361
22.48,88.39,9/15/2023 9:00,30.19,22.75314238
22.5,88.35,9/15/2023 9:00,24.57,19.95833504
22.51,88.34,9/15/2023 9:00,15.37,15.09469834
22.51,88.36,9/15/2023 9:00,18.66,16.83397712
22.51,88.37,9/15/2023 9:00,17.25,15.91233163
22.54,88.34,9/15/2023 9:00,32.51,24.7386141
22.54,88.35,9/15/2023 9:00,24.51,20.50936479
22.59,88.36,9/15/2023 9:00,55.14,35.92921492
22.6,88.37,9/15/2023 9:00,19.37,17.01918396
22.6,88.41,9/15/2023 9:00,16.38,15.53758036
22.48,88.39,9/15/2023 10:00,32.84,24.31478803
22.5,88.35,9/15/2023 10:00,29.21,22.49748631
22.51,88.34,9/15/2023 10:00,17,16.04259455
22.51,88.36,9/15/2023 10:00,24.34,19.92293079
22.51,88.37,9/15/2023 10:00,20.69,17.89161565
22.54,88.34,9/15/2023 10:00,34.34,25.76967916
22.54,88.35,9/15/2023 10:00,27.51,22.15895756
22.59,88.36,9/15/2023 10:00,84.29,51.64095836
22.6,88.37,9/15/2023 10:00,22.6,19.02815965
22.6,88.41,9/15/2023 10:00,20.04,17.66822883
22.48,88.39,9/15/2023 11:00,36.12,26.03945767
22.5,88.35,9/15/2023 11:00,32.5,24.14232068
22.51,88.34,9/15/2023 11:00,18.28,16.62483004
22.51,88.36,9/15/2023 11:00,25.87,20.63733032
22.51,88.37,9/15/2023 11:00,44.26,30.34271884
22.54,88.34,9/15/2023 11:00,30.2,23.66799995
22.54,88.35,9/15/2023 11:00,36,26.73420569
22.59,88.36,9/15/2023 11:00,47.91,32.40007343
22.6,88.37,9/15/2023 11:00,24.5,20.02423264
22.6,88.41,9/15/2023 11:00,40.09,29.15898011
22.48,88.39,9/15/2023 12:00,32.04,24.80901692
22.5,88.35,9/15/2023 12:00,34.19,26.13460503
22.51,88.34,9/15/2023 12:00,18.17,17.6655333
22.51,88.36,9/15/2023 12:00,30.41,24.13628473
22.51,88.37,9/15/2023 12:00,24.09,20.60620042
22.54,88.34,9/15/2023 12:00,22.77,20.70812726
22.54,88.35,9/15/2023 12:00,30.19,24.63075599
22.58,88.43,9/15/2023 12:00,13.69,15.76053361
22.59,88.36,9/15/2023 12:00,38.34,28.25778212
22.6,88.37,9/15/2023 12:00,19.63,18.36662531
22.6,88.41,9/15/2023 12:00,23.35,20.86735215
22.48,88.39,9/15/2023 13:00,29.66,23.82690933
22.5,88.35,9/15/2023 13:00,30.99,24.73344912
22.51,88.34,9/15/2023 13:00,15.17,16.37010861
22.51,88.36,9/15/2023 13:00,19.99,18.91823132
22.51,88.37,9/15/2023 13:00,19.02,18.20200775
22.54,88.34,9/15/2023 13:00,17.06,18.63149947
22.54,88.35,9/15/2023 13:00,20.76,20.58752727
22.57,88.42,9/15/2023 13:00,18.64,18.32040237
22.58,88.43,9/15/2023 13:00,11.52,14.55637049
22.59,88.36,9/15/2023 13:00,31.57,24.93238827
22.6,88.37,9/15/2023 13:00,23.53,20.68199272
22.6,88.41,9/15/2023 13:00,19.43,18.73804074
22.48,88.39,9/15/2023 14:00,28.62,23.53650327
22.5,88.35,9/15/2023 14:00,30.36,24.74626723
22.51,88.34,9/15/2023 14:00,15.41,16.84285759
