lat,long,time,rawpm,calibpm
22.46,88.37,3/28/2023 0:00,113.41,53.37005078
22.5,88.35,3/28/2023 0:00,97.43,49.05392615
22.52,88.34,3/28/2023 0:00,118.63,54.73606112
22.54,88.34,3/28/2023 0:00,104.77,51.97899615
22.54,88.35,3/28/2023 0:00,136.21,60.40570953
22.56,88.35,3/28/2023 0:00,95.92,50.00220586
22.56,88.39,3/28/2023 0:00,130.93,58.44348845
22.57,88.36,3/28/2023 0:00,97.29,50.36940043
22.57,88.37,3/28/2023 0:00,101.29,51.44150137
22.59,88.36,3/28/2023 0:00,104.79,51.1764461
22.6,88.41,3/28/2023 0:00,103.2,51.0111487
22.46,88.37,3/28/2023 1:00,115.24,53.5483585
22.5,88.35,3/28/2023 1:00,104.03,50.65436669
22.52,88.34,3/28/2023 1:00,117.33,54.21910231
22.54,88.34,3/28/2023 1:00,109.51,53.04776082
22.54,88.35,3/28/2023 1:00,121.55,56.27478465
22.56,88.35,3/28/2023 1:00,121.38,56.54326497
22.56,88.39,3/28/2023 1:00,213.82,80.43223399
22.57,88.36,3/28/2023 1:00,118.05,55.65074094
22.57,88.37,3/28/2023 1:00,126.19,57.83246635
22.59,88.36,3/28/2023 1:00,104.47,51.00535947
22.6,88.41,3/28/2023 1:00,110.93,52.85511761
22.46,88.37,3/28/2023 2:00,64.25,39.77493383
22.5,88.35,3/28/2023 2:00,62.14,39.18784663
22.51,88.36,3/28/2023 2:00,860.56,253.1845544
22.51,88.37,3/28/2023 2:00,1740.57,489.0709951
22.52,88.34,3/28/2023 2:00,75.86,42.86515285
22.54,88.34,3/28/2023 2:00,74.55,43.13505547
22.54,88.35,3/28/2023 2:00,82.31,45.21493129
22.56,88.35,3/28/2023 2:00,93.05,48.33826713
22.56,88.39,3/28/2023 2:00,142.9,61.19396678
22.57,88.36,3/28/2023 2:00,105.65,51.71538509
22.57,88.37,3/28/2023 2:00,118.42,55.13806733
22.59,88.36,3/28/2023 2:00,104.86,50.71459553
22.6,88.41,3/28/2023 2:00,79.22,44.12611984
22.46,88.37,3/28/2023 3:00,56.99,37.49657352
22.5,88.35,3/28/2023 3:00,47.19,34.92135514
22.52,88.34,3/28/2023 3:00,48.75,35.33947451
22.54,88.34,3/28/2023 3:00,45.82,34.38896166
22.54,88.35,3/28/2023 3:00,50.31,35.59239497
22.56,88.35,3/28/2023 3:00,50.37,36.23603322
22.56,88.39,3/28/2023 3:00,62.26,39.01570848
22.57,88.36,3/28/2023 3:00,47.85,35.56060963
22.57,88.37,3/28/2023 3:00,52.29,36.75064167
22.59,88.36,3/28/2023 3:00,50.25,34.70852724
22.6,88.41,3/28/2023 3:00,66.27,40.09048967
22.46,88.37,3/28/2023 4:00,47.2,34.44417497
22.5,88.35,3/28/2023 4:00,51.11,35.58253933
22.52,88.34,3/28/2023 4:00,54.62,36.5233079
22.54,88.34,3/28/2023 4:00,51.04,35.39191896
22.54,88.35,3/28/2023 4:00,57.02,36.99470987
22.56,88.35,3/28/2023 4:00,51.54,36.35194715
22.56,88.39,3/28/2023 4:00,51.61,35.4080155
22.57,88.36,3/28/2023 4:00,52.32,36.56100683
22.57,88.37,3/28/2023 4:00,55.76,37.48301364
22.59,88.36,3/28/2023 4:00,52.85,34.96109375
22.6,88.41,3/28/2023 4:00,52.15,35.55274912
22.46,88.37,3/28/2023 5:00,53.29,35.36653698
22.5,88.35,3/28/2023 5:00,51.65,35.29047865
22.52,88.34,3/28/2023 5:00,57.82,36.94419435
22.54,88.34,3/28/2023 5:00,54.63,36.01551166
22.54,88.35,3/28/2023 5:00,57.19,36.70165626
22.56,88.35,3/28/2023 5:00,50.05,35.35161014
22.56,88.39,3/28/2023 5:00,62.45,37.69610205
22.57,88.36,3/28/2023 5:00,54.59,36.5684447
